Source Page Title	URL	Domain Score	Page Score	Link Type	Anchor Backlink	First Seen	Last Seen
Alunos criam software que formata textos conforme normas da ABNT - Notícias - UOL Educação	https://educacao.uol.com.br/noticias/2015/08/27/alunos-criam-software-que-formata-textos-conforme-normas-da-abnt.htm?cmpid=fb-uolnot	0	98	Text	blog	2018-11-21	2018-11-21
Monografia: melhor usar word, pages ou polaris? - Página 2 - Aplicativos (apps) - MM Fórum	https://forum.macmagazine.uol.com.br/topic/150485-monografia-melhor-usar-word-pages-ou-polaris/?page=2	0	98	Text	http://fastformat.co/	2018-11-17	2018-11-17
Plataforma de formatação científica lança prêmio para monografias	http://atarde.uol.com.br/educacao/noticias/1857085-plataforma-de-formatacao-cientifica-lanca-premio-para-monografias	0	98	Text	site do projeto	2018-09-21	2018-09-21
	https://revistagalileu.globo.com/Tecnologia/noticia/2015/08/ferramenta-online-ajuda-usuarios-padronizar-trabalhos-nas-normas-da-abnt.html	0	96	Text	Fast Format	2018-07-27	2018-08-04
A Internet te deixa mais feliz	https://us8.campaign-archive.com/?u=3aa82590c00e9fe4fc2f90fd1&id=ee3c4b6e7e	0	85	Text	Fast Format	2018-11-02	2018-11-02
Fast Format | Soluções Tecnológica | Boletim Técnico do PPEC	https://econtents.bc.unicamp.br/boletins/index.php/ppec/article/view/9054/0	0	83	Text	https://fastformat.co/m/help/videos	2018-10-21	2018-10-21
Ferramenta gratuita ajusta textos conforme as normas da ABNT	https://catracalivre.com.br/educacao/ferramenta-gratuita-ajusta-textos-conforme-as-normas-da-abnt/	0	82	Text	neste link	2019-04-10	2019-04-10
Normalização (ABNT, issn, etc)	http://biblioteca.far.fiocruz.br/index.php/menunormalizacao	0	82	Text	Blog Fastformat	2018-12-13	2019-04-06
Como escolher o método de pesquisa mais adequado para sua monografia? | Blog da BC	https://www.ufrgs.br/blogdabc/como-escolher-o-metodo-de-pesquisa-mais-adequado-para-sua-monografia/	0	82	Text	Blog FastFormat	2018-03-10	2019-03-16
Orientações | Zona Digital	http://zonadigital.pacc.ufrj.br/orientacoes/	0	82	Text	Clique aqui	2018-03-10	2019-02-24
FastFormat edita artigos acadêmicos e monografias com regras da ABNT | Notícias | TechTudo	https://www.techtudo.com.br/noticias/noticia/2015/09/fastformat-edita-artigos-academicos-com-regras-da-abnt.html	0	82	Text	FastFormat	2018-08-01	2019-04-05
Ciências Contábeis de Volta Redonda	http://cienciascontabeisvr.sites.uff.br/biblioteca-virtual/	0	81	Text	FastFormat	2018-12-20	2019-01-25
Site gratuito permite transformar qualquer texto no modelo acadêmico	http://noticias.universia.com.br/destaque/noticia/2015/09/02/1130727/site-gratuito-permite-transformar-qualquer-texto-modelo-academico.html	0	80	Text	Guia Acadêmico	2018-09-18	2019-03-23
Estudantes criam aplicativo que organiza texto com normas da ABNT - Jornal CORREIO | Notícias e opiniões que a Bahia quer saber	https://www.correio24horas.com.br/noticia/nid/estudantes-criam-aplicativo-que-organiza-texto-com-normas-da-abnt/	0	79	Text	um blog	2018-05-13	2019-04-15
FastFormat padroniza trabalhos acadêmicos nas normas ABNT –	https://tecnoblog.net/184226/formatacao-padrao-abnt-automatico/	0	79	Text	FastFormat	2018-06-21	2019-04-10
Conheça o software que formata trabalhos acadêmicos | Conexão Algar Telecom	https://blog.algartelecom.com.br/tecnologia/conheca-o-software-que-formata-trabalhos-academicos/	0	78	Text	criaram um blog	2017-09-19	2019-04-11
Os melhores blogs acadêmicos para você acompanhar • Doity	https://blog.doity.com.br/blogs-academicos/	0	78	Text	link aqui	2019-03-04	2019-04-09
[PHP] Script para formatação de trabalhos ABNT - Programação web - Clube do Hardware	https://www.clubedohardware.com.br/forums/topic/1332643-script-para-formata%C3%A7%C3%A3o-de-trabalhos-abnt/	0	78	Text	https://fastformat.co/	2019-02-28	2019-02-28
Monografia: melhor usar word, pages ou polaris? - Página 2 - Aplicativos (apps) - MM Fórum	https://forum.macmagazine.com.br/topic/150485-monografia-melhor-usar-word-pages-ou-polaris/?page=2	0	78	Text	http://fastformat.co/	2018-05-13	2018-11-01
UFCG - UNIVERSIDADE FEDERAL DE CAMPINA GRANDE-PB	http://ufcg.edu.br/prt_ufcg/assessoria_imprensa/mostra_noticia.php?codigo=17787	0	78	Text	link	2018-08-15	2019-04-12
UFJF te ajuda a passar bem pelas normas da ABNT - Notícias UFJF	https://www2.ufjf.br/noticias/2016/10/26/ufjf-te-ajuda-a-passar-bem-pelas-normas-da-abnt/	0	78	Text	FastFormat	2019-01-16	2019-04-05
www.fastformat.co FastFormat - Formatação nas normas ABNT, APA, Vancouver e outras. - Site Info	http://fastformat.co.rankank.com/	0	78	Text	fastformat.co	2018-08-06	2018-08-06
listography: academical (relativo ao TCC)	https://listography.com/ldelonge/academical/relativo_ao_tcc	0	77	Text	http://blog.fastformat.co/como-formatar-sua-monografia-nas-normas-da-abnt-automaticamente/	2019-01-11	2019-02-01
Listando na plataforma Mais baixados (total) no Superdownloads	http://www.superdownloads.com.br/busca?f=35114	0	77	Text	Página do desenvolvedor	2018-03-10	2019-01-09
Normas ABNT (Links)	http://uece.br/fisica/index.php/normas-abnt-links-uteis	0	77	Text	http://fastformat.co/	2018-03-10	2019-04-08
Regras ABNT atualizadas para TCC e Monografias	https://www.mundodastribos.com/regras-abnt-atualizadas-2013.html	22	77	Text	https://fastformat.co/	2018-04-24	2018-11-01
Links Úteis - INFI	https://infi.ufms.br/links-uteis/	0	77	Text	Normas ABNT UFMS	2017-09-19	2019-02-22
Ex-aluno de Computação da Ufal disponibiliza software para editoração de trabalhos acadêmicos — Universidade Federal de Alagoas	https://ufal.br/estudante/noticias/2015/08/ex-aluno-de-computacao-da-ufal-disponibiliza-software-para-editoracao-de-trabalhos-academicos	0	76	Text	http://blog.fastformat.co	2018-06-13	2019-04-11
Plataforma facilita formatação de artigos científicos | Na Prática	https://www.napratica.org.br/nota-plataforma-facilita-formatacao-de-artigos-cientificos/	0	76	Text	Fast Format	2018-07-13	2019-04-10
Software criado por ex-aluno da Ciência da Computação da Unicap auxilia na elaboração de trabalhos acadêmicos – Boletim Unicap	http://www.unicap.br/assecom1/software-criado-por-ex-aluno-da-ciencia-da-computacao-da-unicap-auxilia-na-elaboracao-de-trabalhos-academicos/	0	75	Text	abnt.fastformat.co	2019-01-10	2019-03-10
Opção Para Formatar Artigos Acadêmicos Automaticamente	http://canaldoensino.com.br/blog/opcao-para-formatar-artigos-academicos-automaticamente	0	74	Text	FastFormat	2018-09-17	2018-09-17
	http://hto.ifsp.edu.br/sitioantigo/index.php/menu-biblioteca/menu-item-biblio-trabalhos-academicos	0	74	Text	Software FastFormat	2018-07-25	2018-07-25
Tome Ciência: Mês de outubro – Edição 188 – Ano 2019	http://jornal.puc-campinas.edu.br/tome-ciencia-mes-de-outubro/	0	74	Text	link	2018-06-19	2019-04-12
| UNAMA	http://www.unama.br/node/	0	74	Text	No Fast Format	2018-11-19	2018-12-06
16 dicas de formatação de trabalhos para garantir nota 10 - uniBH	http://blog.unibh.br/16-dicas-de-formatacao-de-trabalhos-para-garantir-nota-10/	0	74	Text	Fast Format	2017-09-19	2018-10-12
Estudantes criam software que formata textos segundo ABNT	http://www.leiaja.com/tecnologia/2015/08/27/estudantes-criam-software-que-formata-textos-segundo-abnt/	0	73	Text	site	2019-04-01	2019-04-12
Formate trabalhos acadêmicos nas normas ABNT automaticamente	https://www.showmetech.com.br/software-formata-trabalhos-academicos-nas-normas-abnt-automaticamente/	0	72	Text	um blog	2018-06-24	2018-11-03
Christian Domröse | Personensuche - Kontakt, Bilder, Profile & mehr!	http://www.namenfinden.de/s/christian+domr%C3%B6se	0	71	Text	Banco de referências: journal:"Archives of Gynecology and Obstetrics ...https://fastformat.co/b/fastref?p...	2019-01-03	2019-01-03
6 aplicativos que facilitam a vida do estudante de odontologia | Blog Dental Cremer	http://blog.dentalcremer.com.br/6-aplicativos-estudante-de-odontologia/	0	70	Text	Fast Format	2018-06-13	2019-04-10
Estudantes criam software que organiza texto com as normas da ABNT	http://engenhariae.com.br/tecnologia/estudantes-criam-software-que-organiza-texto-com-as-normas-da-abnt/	0	69	Text	um blog	2018-06-19	2019-02-15
TCC dentro das Normas - FEMAT	https://femat.unifesspa.edu.br/tcc-e-est%C3%A1gios/279-trabalho-acad%C3%AAmico-dentro-das-normas.html	0	69	Text		2018-08-27	2019-04-11
| UNINASSAU	https://www.uninassau.edu.br/node/	0	69	Text	No Fast Format	2018-11-19	2018-12-06
Estudantes criam aplicativo que organiza texto com normas da ABNT – Calila Noticias	http://www.calilanoticias.com/2015/08/estudantes-criam-aplicativo-que-organiza-texto-com-normas-da-abnt	0	68	Text	um blog	2018-10-21	2019-01-14
Blog NPI Brasil, Autor em Blog NPI Brasil - Página 8 de 119	http://blog.npibrasil.com/author/blog-npi-brasil/page/8/	0	68	Text	Fastformat	2019-01-09	2019-04-11
10 Ferramentas para aumentar a produtividade e diminuir as dores de cabeça	http://posgraduando.com/10-ferramentas-para-aumentar-a-produtividade-e-diminuir-as-dores-de-cabeca/	0	68	Text	http://www.fastformat.co/	2017-09-19	2018-11-02
Regras ABNT 2018 atualizadas para TCC e Monografias 2018 | BR Acontece	https://www.bracontece.com.br/regras-abnt-2018-atualizadas-para-tcc-e-monografias-2018/	0	67	Text	FastFormat	2018-04-24	2019-04-09
Biblioteca Rui Tendinha - Serviços	https://bibliotecaruitendinha.incaper.es.gov.br/servicos	0	67	Text	http://fastformat.co/	2018-06-18	2019-04-09
Blog da Engenharia | O primeiro blog de engenharia | Cento e trinta coisas incríveis e gratuitas para engenheiros	https://blogdaengenharia.com/coisas-gratuitas-para-engenheiros/	0	66	Text	FasfFormat:	2017-09-19	2019-01-25
Os 5 melhores editores de texto gratuitos e online em 2019 - AppGeek	https://www.appgeek.com.br/editores-de-texto/	0	66	Text	Clique aqui para acessar o FastFormat.	2018-12-01	2019-04-16
Como formatar trabalho acadêmico dentro das normas ABNT	https://criticalhits.com.br/artigos/formatar-trabalho-academico-normas-abnt/	0	65	Text	FastFormat	2018-10-12	2018-10-31
NTE PORTO NACIONAL: Opção para formatar artigos acadêmicos automaticamente	https://nteportonacional.blogspot.com/2015/10/opcao-para-formatar-artigos-academicos.html	0	65	Text	FastFormat	2018-06-23	2018-10-31
Blog Wilton Lima: Estudantes criam aplicativo que organiza texto com normas da ABNT	http://www.wiltonlima.com.br/2016/05/estudantes-criam-aplicativo-que.html	0	64	Text	um blog	2018-08-18	2018-11-02
Visualize 3 Jpg	https://www.picquery.com/v/3-jpg_vSUJzvrnwHNTxd0K3*LGWJ2jxQ0jITkslPp2zOfO1oI/jPtkxRL67Pzm6%7cX58jzOenAVoJWVdpb8fY6YsOP4c*jYbhXqp2UZwAXwFvf2MKrz5Qc9cJDzhZPs*Ml0qdZGJS7rCTvLkGYHT3Htl7otOutHLlSAswGfCS2uitXn*nszXda5GUnKSXyoIwehF*d6VAMZM7Zq6hTACerdX8enNAdcWCmRneYjb%7cGBmLP9QsVaUpk71kztLaDA38LUe8QiK2PSJvhHaO%7cv%7cExnldbX44jhDla0z2W*F0JGLY93ZY8L/	0	64	Text		2018-10-20	2018-10-20
| Joaquim Nabuco	http://www.joaquimnabuco.edu.br/node/	0	64	Text	No Fast Format	2018-11-18	2018-12-27
Ex-aluno de Computação da Ufal disponibiliza software para editoração de trabalhos acadêmicos | Arapiraca | 7Segundos	https://arapiraca.7segundos.com.br/noticias/2015/08/20/50442/ex-aluno-de-computacao-da-ufal-disponibiliza-software-para-editoracao-de-trabalhos-academicos.html	0	64	Text	FastFormat	2018-09-09	2019-04-08
BLOG DO PARCEIRO: Estudantes criam aplicativo que organiza texto com normas da ABNT	https://josenidelima.blogspot.com/2015/08/estudantes-criam-aplicativo-que.html	0	63	Text	um blog	2018-11-06	2018-11-06
POLÍTICA CIDADANIA E DIGNIDADE: Alunos criam software que formata textos conforme normas da ABNT	http://politicacidadaniaedignidade.blogspot.com/2015/11/alunos-criam-software-que-formata.html	0	63	Text	blog	2018-08-12	2018-11-08
Prestes A Ressurgir: Agosto 2015	http://prestesaressurgir.blogspot.com/2015/08/	0	63	Text	blog	2018-06-15	2018-11-08
FastFormat: Aplicativo de Formatação Automática de TCC	https://viacarreira.com/fastformat-aplicativo-de-formatacao-automatica-de-tcc-235104/	0	63	Text	clique aqui	2019-03-11	2019-04-10
Confira cinco editores de texto online gratuitos disponíveis - Vida Digital - Script Brasil	https://www.scriptbrasil.com.br/vida-digital/confira-cinco-editores-texto-online-gratuitos-disponiveis.html	0	63	Text	FastFormat	2018-08-07	2018-08-24
Capa de trabalho ABNT e folha de rosto: como formatar +modelo pronto	https://www.tuacarreira.com/capa-de-trabalho-abnt/	0	63	Text	FastFormat	2019-04-09	2019-04-09
Blog Cariri : Alunos criam software que formata textos conforme normas da ABNT	http://www.blogcariri.com.br/2015/08/alunos-criam-software-que-formata.html	0	62	Text	blog	2018-05-13	2018-10-29
3 plataformas de revisão bibliográfica para trabalhos acadêmicos - Vivo Guru	https://www.vivotech.com.br/revisao-bibliografica-para-trabalhos-academicos/	0	62	Text	Fast Format	2018-07-27	2019-03-08
Agosto 2015 - Minha Casa Organizada	http://www.minhacasaorganizada.com.br/2015/08/	0	62	Text	lá	2018-06-08	2018-11-08
Grupo de especialistas em Ciência da Computação criam site que formata trabalhos acadêmicos. - CBSI | SISTEMAS DE INFORMAÇÃO.	https://www.cbsi.net.br/2015/09/grupo-de-especialistas-em-ciencia-da-computacao-criam-site-que-formata-trabalhos.html	0	62	Text	link	2018-11-03	2018-11-03
ANGICO NO AR: Em PE, amigos criam site que edita artigos automaticamente para ABNT	http://angiconoar.blogspot.com/2015/10/em-pe-amigos-criam-site-que-edita.html	0	62	Text	link	2018-11-02	2018-11-02
Ferramenta online ajusta textos conforme as normas da ABNT	https://escolaeducacao.com.br/saiba-como-formatar-textos-academicos-que-seguem-as-normas-da-abnt/	0	61	Text	blog do projeto	2018-06-08	2018-11-13
Alunos Criam Software Que Formata Textos Conforme Normas Da Abnt - UNIJIPA	https://unijipa.edu.br/noticias/institucionais/101708-alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	61	Text	blog	2018-06-10	2018-07-23
Alunos Criam Software Que Formata Textos Conforme Normas Da Abnt - FAMETA	https://fameta.edu.br/noticias/institucionais/101708-alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	60	Text	blog	2018-06-09	2018-07-11
Fastformat – Linux Centro	https://linuxcentro.com.br/internet/fastformat/	0	60	Text		2019-03-28	2019-04-08
5 aplicativos para pesquisa científica muito úteis para universitários	http://blog.coletum.com/aplicativos-para-pesquisa-cientifica/	0	60	Text	software FastFormat.	2018-12-29	2019-03-05
As 3 melhores ferramentas gratuitas e online que formatam textos nas normas ABNT - Estágio Online	https://estagioonline.com/noticias/as-3-melhores-ferramentas-gratuitas-e-online-que-formatam-textos-nas-normas-abnt	0	59	Text	neste link	2019-01-05	2019-04-10
Alunos Criam Software Que Formata Textos Conforme Normas Da Abnt - FAPAN	https://fapan.edu.br/noticias/institucionais/101708-alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	58	Text	blog	2018-06-08	2018-07-12
Alunos Criam Software Que Formata Textos Conforme Normas Da Abnt - FAP	https://fapb.edu.br/noticias/institucionais/101708-alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	58	Text	blog	2018-06-08	2018-07-24
	http://www.ensinarhistoriajoelza.com.br/escrita-cientifica-dicas-para-escrever-seu-tcc-artigo-ou-monografia/	0	58	Text	Artigo científico: normas e regras ABNT: como fazer?	2018-07-20	2018-07-26
	http://toniwilliams.info/cita%C3%A7%C3%B5es-direta-mais-de-tres-linhas-abnt	0	58	Image	citacao direta normas e regras da abnt para tcc	2018-11-01	2018-11-01
17 aplicativos para estudantes hackearem sua rotina! - FAPPES	http://fappes.edu.br/blog/graduacao/17-aplicativos-para-estudantes-hackearem-sua-rotina/	0	58	Text	FastFormat	2018-04-24	2019-03-05
List-of-Domains.org - Alexa website ranking for Thursday, 02-Aug-2018 Page 113	http://www.webnamelist.com/alexa/Alexa_113.html	0	58	Text	fastformat.co	2018-09-03	2018-11-02
TV: A máquina de congelar artistas idosos | Portal do Envelhecimento	https://www.portaldoenvelhecimento.com.br/tv-maquina-de-triturar-artistas-idosos/	0	58	Text	GUIDES, Ana Carla Nogueira de Sousa	2018-06-19	2019-04-09
FastFormat ajusta texto com as normas da ABNT	https://professornews.com.br/assinante/2-uncategorised/8441-fastformat-ajusta-texto-pelas-normas-da-abnt.html	0	57	Text	FastFormat	2017-09-19	2019-03-13
Site edita automaticamente artigos para normas da ABNT - Enfu	http://www.enfu.com.br/site-edita-automaticamente-artigos-para-normas-da-abnt/	0	57	Text	link	2018-03-10	2018-10-31
Alunos Criam Software Que Formata Textos Conforme Normas Da Abnt - FAMETA	http://fameta.athenaseducacional.com.br/noticias/institucionais/101708-alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	55	Text	blog	2018-12-30	2019-04-09
Alunos Criam Software Que Formata Textos Conforme Normas Da Abnt - FAPAN	http://fapan.athenaseducacional.com.br/noticias/institucionais/101708-alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	55	Text	blog	2018-12-29	2019-04-10
Alunos Criam Software Que Formata Textos Conforme Normas Da Abnt - UNIJIPA	http://unijipa.athenaseducacional.com.br/noticias/institucionais/101708-alunos-criam-software-que-formata-textos-conforme-normas-da-abnt	0	55	Text	blog	2018-12-29	2019-04-09
Estudantes criam software que formata textos segundo ABNT – Alagoinhas Hoje	http://www.alagoinhashoje.com/estudantes-criam-software-que-formata-textos-segundo-abnt/	0	55	Text	site	2018-05-13	2018-09-05
Como formatar trabalho com regras da ABNT automaticamente | Limon Tec	https://www.limontec.com/2015/10/como-formatar-trabalho-com-regras-da.html	0	55	Text	http://fastformat.co/	2018-07-31	2018-11-06
	http://stta.com.br/noticia.php?id=27	0	54	Text	http://fastformat.co/	2017-10-03	2018-07-16
noticias | Vivacity	http://vivacity.com.br/noticiasDetalhes.asp?id=925	0	54	Text	www.fastformat.co	2018-08-05	2019-04-09
Revisão e Formalização da ABNT, , Bananeira 2018	https://www.glunis.com/BR/Bananeira/924336797589905/Revis%C3%A3o-e-Formaliza%C3%A7%C3%A3o-da-ABNT	0	53	Text	O que escrever em cada seção de um estudo de caso? - Guia Acadêmico	2018-10-24	2018-10-24
	http://www.linkest.net/assunto/text_formatting	0	52	Text	link	2018-07-17	2018-07-17
Alunos criam software que formata textos conforme normas da ABNT – Rondonia News	http://www.rondonianews.com/site/alunos-criam-software-que-formata-textos-conforme-normas-da-abnt/	0	51	Text	http://fastformat.co/	2018-03-10	2019-04-10
Capa De Trabalho Abnt Unip. Capa De Trabalho Abnt Unip. Unip. Apndice Como Fazer O Uso Na Abnt. Nap U Ncleo De Apoio Ao Estudante. A Introduo Da Estrutura Do Tcc. Capa De Trabalho Abnt Unip. Passo Sum	http://applyingto.com/capa-de-trabalho-abnt-unip.html	0	51	Text	.	2018-10-24	2018-11-02
Plataforma facilita formatação de artigos científicos | Meira Fernandes Gestão e Solução	http://www.meirafernandes.com.br/noticia/5549/plataforma-facilita-formataccedilatildeo-de-artigos-cientiacuteficos	0	51	Text	Fast Format	2018-11-03	2018-12-30
	http://www.buildyour.net/capa-de-trabalho-abnt-unip.html	0	50	Text	.	2018-07-17	2018-07-17
Planeta: Nossa Língua	http://planetadoalan.blogspot.com/p/nossa-lingua.html	0	50	Text	NORMAS ABNT	2018-06-22	2018-10-31
	http://academia-salamanca.info/14/4995353-da-upf-logo.html	0	50	Image	universidade de passo fundo upf fastformat universidade de passo fundo upf fastformat	2018-08-05	2018-08-05
Estudantes criam software que formata textos segundo ABNT	http://www.blogdasppps.com/2015/08/estudantes-criam-software-que-formata.html	0	49	Text	site	2019-04-03	2019-04-03
elsevier template * 28 images - elsevier template templates collections, elsevier journal template elsevier cover letter dolapgnetband free template design, elsevier journal template sciencedirect template free template design, template essay collegeconsultants x fc2, elsevier journal template sciencedirect template free template design	http://luckyeng.website/elsevier-template/	0	49	Text	.	2018-12-21	2018-12-21
Japi em Foco: Estudantes criam aplicativo que organiza texto com normas da ABNT	https://japirnemfoco.blogspot.com/2015/08/estudantes-criam-aplicativo-que.html	0	48	Text	um blog	2018-10-16	2018-11-01
1 de setembro de 2015 (ter) às 00:05 – Página: 2 – Agrosoft	https://www.agrosoft.com.br/2015/09/01/page/2/	0	48	Text	Fast Format	2019-04-15	2019-04-15
	http://roman365.info/como-fazer-cita%C3%A7%C3%B5es-em-apresenta%C3%A7%C3%B5es	0	47	Image	citacao direta normas e regras da abnt para tcc	2018-11-03	2018-11-03
Resume Exemplo. cv exemplo vatoz atozdevelopment co. the best easy to edit resume models in word noctula store. 33 hostess resume sample anfitri exemplo cv visualcv retomar. resumo profissional qualificações e diferenciais vagas profissões. cpa resume resume badak. nmdnconference.com - Example Resume And Cover Letter	http://nmdnconference.com/resume-exemplo.html	0	47	Text	.	2018-11-14	2018-12-16
Estudantes criam aplicativo com a função de organizar textos – Maraú Notícias	http://www.maraunoticias.com/tecnologia/18322-estudantes-criam-aplicativo-com-a-funcao-de-organizar-textos.html	0	47	Text	Fast Format	2019-03-08	2019-03-08
	https://www.vdstube.com/aprenda-a-fazer-o-seu-tcc/	0	47	Text	http://www.fastformat.co/	2018-08-10	2018-08-10
Alexa top domain list || list.show || page 219	http://list.show/domain-list-219	0	46	Text	fastformat.co	2018-09-16	2019-02-13
Rebolinho: O Brasil tem muita gente boa	http://www.rebolinho.com.br/2016/02/o-brasil-tem-muita-gente-boa.html	0	43	Text	um blog	2018-11-07	2018-11-07
Intervalo da Notícias: Estudantes criam aplicativo que organiza texto com normas da ABNT	http://intervalodanoticias.blogspot.com/2015/08/estudantes-criam-aplicativo-que.html	0	42	Text	um blog	2017-10-03	2018-11-02
	https://sportsmedupdate.info/mind-the-graph/	0	42	Image		2018-08-03	2018-08-05
Trabalho em grupo: 8 aplicativos pra facilitar sua vida	https://upmeapp.com.br/blog/trabalho-em-grupo-8-aplicativos-pra-facilitar-sua-vida	0	42	Text	FastFormat	2018-09-16	2018-11-01
LITORAL CENTRO - COMUNICAÇÃO E IMAGEM ONLINE: Eu, Psicóloga | Como padronizar seus trabalhos acadêmicos nas normas ABNT automaticamente	http://aveiro123.blogspot.com/2018/02/eu-psicologa-como-padronizar-seus.html	0	42	Text	FastFormat	2018-08-09	2018-11-02
Hans-jörg Schek | Search A Name - Contact, Pictures, Profiles & more!	http://www.ohkay-dohkay.com/s/hans-j%C3%B6rg+schek	0	42	Text	Hans-Jörg Schek - FastFormat	2018-09-04	2018-09-09
TCC: ferramentas online que vão te ajudar a fazer o seu projeto de conclusão de curso	http://cliquenews.com.br/ciencia-e-tecnologia/12130/tcc-ferramentas-online-que-vao-te-ajudar-a-fazer-o-seu-projeto-de-conclusao-de-curso	0	41	Text	FastFormat	2018-08-09	2018-09-05
Regras ABNT atualizadas para TCC e Monografias	http://conectandouniversitarios.com.br/2017/03/04/regras-abnt-atualizadas-para-tcc-e-monografias/	0	41	Text	https://fastformat.co/	2018-04-24	2019-04-11
